,mean,std,min,max,P95,P98,P99
rtm_coco_det-nano_pose-m,1000.2568627450981,17.78091348258797,961.2,1035.1,1026.695,1031.572,1032.59
rtm_body8_det-m_pose-s,1002.0058823529413,44.21065842462766,873.1,1118.4,1076.58,1104.022,1109.446
lightweight-human-pose-estimation,643.8254901960786,34.30770703522184,579.0,746.2,707.63,724.166,725.19
trans_pose_tpr_a4_256x192,963.071568627451,27.637089236404336,753.2,1000.0,990.785,992.192,992.497
hourglass,1106.1049019607842,10.455342732644151,1082.1,1127.4,1124.695,1127.0939999999998,1127.199
rtm_body8_26keypoints_det-m_pose-m_256x192,998.6764705882352,15.88935502874573,960.3,1038.2,1029.3100000000002,1033.3780000000002,1037.657
posenet_50,1018.0980392156862,337.43279853263687,0.0,2056.3,1536.4299999999998,1766.3840000000002,1788.994
rtm_body8_26keypoints_det-m_pose-m_384x288,999.055882352941,9.380011847576156,978.3,1019.2,1013.695,1015.494,1015.7969999999999
efficient_pose_rt_lite,245.68823529411765,34.5402359691908,176.7,320.1,306.98,311.79,314.37399999999997
posenet_101,1013.506862745098,143.7260031188183,617.0,1351.1,1241.495,1309.0960000000002,1334.252
rtm_coco_det-m_pose-l,1000.8549019607843,16.1682794472543,962.8,1036.9,1027.56,1034.96,1035.793
trans_pose_tph_a4_256x192,789.0107843137257,36.62804804117223,689.4,825.2,822.26,823.69,824.096
soft_gated_pose_estimation,1132.6990196078432,9.931801715365694,1111.0,1160.5,1149.5649999999998,1151.698,1153.779
efficient_pose_iii,614.8960784313728,16.42621602367976,574.6,652.4,641.295,647.6600000000001,648.195
rtm_body8_det-m_pose-m,999.9813725490195,16.362389503766618,965.5,1040.5,1030.54,1036.8860000000002,1038.385
efficient_pose_iv,739.4009803921568,11.967468118047288,701.4,761.8,755.61,757.39,759.182
efficient_pose_ii,527.2382352941177,24.08154058372954,437.4,586.0,566.81,571.6800000000001,575.6600000000001
