model,pckh,pckh_strict
efficient_pose_ii,0.4231166150670795,0.45790080738177624
efficient_pose_iii,0.4375644994840041,0.4728950403690888
efficient_pose_iv,0.44788441692466463,0.4867358708189158
efficient_pose_rt_lite,0.29205366357069146,0.31141868512110726
hourglass,0.4072810011376564,0.4423320659062104
lightweight_human_pose_estimation,0.6104294478527608,0.6467619848612279
posenet_101,0.3834355828220859,0.41042893187552565
posenet_50,0.348159509202454,0.37342304457527337
rtm_body8_26keypoints_det-m_pose-m_256x192,0.7691717791411042,0.8023549201009251
rtm_body8_26keypoints_det-m_pose-m_384x288,0.7684049079754601,0.8023549201009251
rtm_body8_det-m_pose-m,0.7476993865030674,0.7846930193439865
rtm_body8_det-m_pose-s,0.7116564417177914,0.744322960470984
rtm_coco_det-m_pose-l,0.7745398773006135,0.8090832632464255
rtm_coco_det-nano_pose-m,0.7730061349693251,0.808242220353238
soft_gated_pose_estimation,0.3970420932878271,0.4296577946768061
trans_pose_tph_a4_256x192,0.7101226993865031,0.7460050462573591
trans_pose_tpr_a4_256x192,0.7047546012269938,0.7417998317914214
