,mean,std,min,max,P95,P98,P99
efficient_pose_ii,85.25504551681817,3.953021406653844,77.95214653015137,102.80060768127441,90.90104103088379,93.01780223846436,94.17330026626587
efficient_pose_iii,197.38075312446145,6.701693668914962,185.49561500549316,217.65637397766113,209.44592952728271,212.73179531097412,213.6154294013977
efficient_pose_iv,544.0828215842154,11.97339069734066,521.4505195617676,583.0667018890381,565.5821800231934,572.8662157058716,582.2582507133484
efficient_pose_rt_lite,18.65686856064142,2.2446401878824145,15.190839767456055,26.709556579589844,23.739469051361073,24.57448959350586,25.26851415634155
hourglass,208.94057844199386,12.993375976420502,188.11821937561035,223.54674339294434,222.44035005569458,223.0746555328369,223.3341884613037
lightweight_human_pose_estimation,1364.067514737447,363.9074776452716,656.3220024108887,2623.7826347351074,1961.1382961273184,2076.119203567505,2363.3610558509813
posenet_101,13.956953497493968,9.515273424387674,3.2188892364501953,55.83453178405762,34.7840666770935,40.31209468841554,42.57084131240843
posenet_50,7.3194153168622185,4.568489767012776,1.9164085388183594,29.001474380493164,16.742813587188714,19.346885681152347,20.620458126068108
rtm_body8_26keypoints_det-m_pose-m_256x192,94.02972810408649,4.842892567270057,89.85185623168945,129.08530235290527,98.22720289230345,108.00461292266847,113.37450742721555
rtm_body8_26keypoints_det-m_pose-m_384x288,183.47584733776017,49.46144127334375,153.42283248901367,286.3755226135254,282.3902726173401,283.9240503311157,285.76711416244507
rtm_body8_det-m_pose-m,90.56636165170109,3.4827135254940527,87.69869804382324,117.16866493225098,95.05523443222046,98.08770179748535,98.25741529464722
rtm_body8_det-m_pose-s,36.96737803664862,10.373237223067603,27.36687660217285,53.73787879943848,51.20284557342529,52.60145664215088,53.6049723625183
rtm_coco_det-m_pose-l,101.74855998918122,2.5045363281065716,95.35765647888184,109.61341857910156,104.67345714569092,105.5049467086792,105.59642791748047
rtm_coco_det-nano_pose-m,91.4451655219583,2.060289017042595,88.76228332519531,98.43778610229492,94.93639469146729,95.42755126953125,96.04573488235474
soft_gated_pose_estimation,165.7797472149718,2.478765460007956,153.97238731384277,172.1048355102539,169.16325092315674,169.48346138000488,169.7027325630188
trans_pose_tph_a4_256x192,286.34826576008516,17.524980851615933,257.87806510925293,330.3804397583008,323.56071472167963,328.7353563308716,329.24899339675903
trans_pose_tpr_a4_256x192,104.20197832818126,5.076621820847713,100.27146339416504,136.7321014404297,111.48946285247803,118.58569145202637,128.3485627174377
